Average speed,Max speed,Distance,Duration,Start time
24.182713160345845,50.5609,30.517240524291992,4543.0,2018-05-23 19:34:49
26.261630940813586,51.9235,30.507261276245117,4182.0,2018-05-22 15:29:10
24.210984828108447,120.2,57.13792419433594,8496.0,2018-05-21 16:39:40
24.872560307224862,49.7482,57.096343994140625,8264.0,2018-05-20 17:51:31
25.750430608070307,67.2595,57.13734436035156,7988.0,2018-05-19 13:37:42
24.022552746684614,47.2461,57.96775436401367,8687.0,2018-05-17 17:06:57
24.424540442878037,49.8748,57.26197814941406,8440.0,2018-05-16 17:18:02
25.336039957907722,54.3751,30.487701416015625,4332.0,2018-05-14 21:00:29
24.902500632238887,52.0044,30.477893829345703,4406.0,2018-05-11 17:09:48
25.032575061944886,51.9225,57.10208511352539,8212.0,2018-05-09 16:34:38
